"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YM3L3U8A","journalArticle","2010","Kim, Dong-Hwan; Zografos, Brett R.; Sung, Sibum","Vernalization-Mediated VIN3 Induction Overcomes the LIKE-HETEROCHROMATIN PROTEIN1/POLYCOMB REPRESSION COMPLEX2-Mediated Epigenetic Repression","Plant Physiology","","0032-0889","10.1104/pp.110.161083","https://doi.org/10.1104/pp.110.161083","VERNALIZATION INSENSITIVE3 (VIN3) induction by vernalization is one of the earliest events in the vernalization response of Arabidopsis (Arabidopsis thaliana). However, the mechanism responsible for vernalization-mediated VIN3 induction is poorly understood. Here, we show that the constitutive repression of VIN3 in the absence of the cold is due to multiple repressive components, including a transposable element-derived sequence, LIKE-HETEROCHROMATIN PROTEIN1 and POLYCOMB REPRESSION COMPLEX2. Furthermore, the full extent of VIN3 induction by vernalization requires activating complex components, including EARLY FLOWERING7 and EARLY FLOWERING IN SHORT DAYS. In addition, we observed dynamic changes in the histone modifications present at VIN3 chromatin during the course of vernalization. Our results show that the induction of VIN3 includes dynamic changes at the level of chromatin triggered by long-term cold exposure.","2010-10-01","2024-07-22 18:28:55","2024-07-22 18:28:55","2024-07-22 18:28:54","949-957","","2","154","","Plant Physiology","","","","","","","","","","","","","Silverchair","","","","C:\Users\sapph\Zotero\storage\EG6S28BT\Kim et al. - 2010 - Vernalization-Mediated VIN3 Induction Overcomes th.pdf; C:\Users\sapph\Zotero\storage\94DJE72B\6111466.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SF7SDK6M","journalArticle","2019","Singh, Rajesh Kumar; Miskolczi, Pal; Maurya, Jay P.; Bhalerao, Rishikesh P.","A Tree Ortholog of SHORT VEGETATIVE PHASE Floral Repressor Mediates Photoperiodic Control of Bud Dormancy","Current Biology","","0960-9822","10.1016/j.cub.2018.11.006","https://www.cell.com/current-biology/abstract/S0960-9822(18)31472-6","","2019-01-07","2024-07-22 18:30:13","2024-07-22 18:30:13","2024-07-22 18:30:13","128-133.e2","","1","29","","Current Biology","","","","","","","","English","","","","","www.cell.com","","Publisher: Elsevier PMID: 30554900","","C:\Users\sapph\Zotero\storage\647RPHMJ\Singh et al. - 2019 - A Tree Ortholog of SHORT VEGETATIVE PHASE Floral R.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/30554900","","ABA; buds; callose; dormancy; gibberellins; photoperiod; plasmodesmata; poplar; SHORT VEGETATIVE PHASE; SVP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QTSL92ZE","journalArticle","1968","Erez, A.; Lavee, S.; Samish, R. M.","The Effect of Limitation in Light During the Rest Period On Leaf Bud Break of the Peach (Prunus persica)","Physiologia Plantarum","","1399-3054","10.1111/j.1399-3054.1968.tb07299.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1968.tb07299.x","Reduction in the amount of light supphed during the mid-rest period caused a hetter leaf bud opening in the peach as compared with natural winter daylight; this includes darkness, short photoperiod and reduced light intensity. The quantitative nature of this light effect was shown. The role of light as a factor regulating dormancy is discussed.","1968","2024-07-22 18:32:31","2024-07-22 18:32:31","2024-07-22 18:32:31","759-764","","4","21","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1399-3054.1968.tb07299.x","","C:\Users\sapph\Zotero\storage\GKAZA26Y\j.1399-3054.1968.tb07299.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5H254U75","journalArticle","1966","Erez, A.; Samish, R. M.; Lavee, S.","The Role of Light in Leaf and Flower Bud Break of the Peach (Prunus persica)","Physiologia Plantarum","","1399-3054","10.1111/j.1399-3054.1966.tb07049.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1966.tb07049.x","The effect of light on peach leaf and flower bud break was examined. It was found that leafless dormant shoots were light-perceptive organs. Darkness, after light preconditioning during dormancy, reduced leaf bud opening; however, light was obligatory when the shoots were preconditioned in the dark. Relatively short exposures to light were sufficient to stimulate leaf bud break. Terminal buds were less inhibited by darkness than were laterals. Flower bud break was inhibited in light after dark preconditioning. The red region of the spectrum was found to be active; the phytochorome system seems to be involved in the light reactions, as the red light effect was reversible with subsequent far-red illumination. Supplementary light, producing long-day conditions, could partly compensate for insufficient chilling. A possible sequence of reactions in the plant is suggested.","1966","2024-07-22 18:32:49","2024-07-22 18:32:49","2024-07-22 18:32:49","650-659","","3","19","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1399-3054.1966.tb07049.x","","C:\Users\sapph\Zotero\storage\K3HE8L4S\Erez et al. - 1966 - The Role of Light in Leaf and Flower Bud Break of .pdf; C:\Users\sapph\Zotero\storage\KVSY3MQ4\j.1399-3054.1966.tb07049.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X233YHJB","journalArticle","2022","Hussain, Quaid; Zheng, Manjia; Hänninen, Heikki; Bhalerao, Rishikesh P.; Riaz, Muhammad Waheed; Sajjad, Muhammad; Zhang, Rui; Wu, Jiasheng","Effect of the photoperiod on bud dormancy in <i>Liriodendron chinense</i>","Journal of Plant Physiology","","0176-1617","10.1016/j.jplph.2022.153835","https://www.sciencedirect.com/science/article/pii/S0176161722002218","Bud dormancy and its release are complex physiological phenomena in plants. The molecular mechanisms of bud dormancy in Liriodendron chinense are mainly unknown. Here, we studied bud dormancy and the related physiological and molecular phenomena in Liriodendron under long-day (LD) and short-day (SD). Bud burst was released faster under LD than under SD. Abscisic acid (ABA), superoxide dismutase (SOD), catalase (CAT), and glutathione reductase (GR) activities were increased significantly under LD in Liriodendron buds. In contrast, the contents of gibberellic acid (GA3), ascorbic acid (AsA), glutathione (GSH), malondialdehyde (MDA), and ascorbate peroxidase (APX) activity decreased under LD but increased under SD. Differentially expressed genes (DEGs) were up-regulated under LD and down-regulated under SD and these changes correspondingly promoted (LD) or repressed (SD) cell division and the number and/or size of cells in the bud. Transcriptomic analysis of Liriodendron buds under different photoperiods identified 187 DEGs enriched in several pathways such as flavonoid biosynthesis and phenylpropanoid biosynthesis, plant hormone and signal transduction, etc. that are associated with antioxidant enzymes, non-enzymatic antioxidants, and subsequently promote the growth of the buds. Our findings provide novel insights into regulating bud dormancy via flavonoid and phenylpropanoid biosynthesis, plant hormone and signal transduction pathways, and ABA content. These physiological and biochemical traits would help detect bud dormancy in plants.","2022-12-01","2024-07-22 18:33:33","2024-07-22 18:33:33","2024-07-22 18:33:33","153835","","","279","","Journal of Plant Physiology","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\sapph\Zotero\storage\SKMHAV53\S0176161722002218.html","","","Antioxidant enzyme activities; Bud dormancy release; Photoperiod; RNA-Seq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GKWKMGZ","journalArticle","2020","Zhao, Yusheng; Antoniou-Kourounioti, Rea L.; Calder, Grant; Dean, Caroline; Howard, Martin","Temperature-dependent growth contributes to long-term cold sensing","Nature","","1476-4687","10.1038/s41586-020-2485-4","https://www.nature.com/articles/s41586-020-2485-4","Temperature is a key factor in the growth and development of all organisms1,2. Plants have to interpret temperature fluctuations, over hourly to monthly timescales, to align their growth and development with the seasons. Much is known about how plants respond to acute thermal stresses3,4, but the mechanisms that integrate long-term temperature exposure remain unknown. The slow, winter-long upregulation of VERNALIZATION INSENSITIVE 3 (VIN3)5–7, a PHD protein that functions with Polycomb repressive complex 2 to epigenetically silence FLOWERING LOCUS C (FLC) during vernalization, is central to plants interpreting winter progression5,6,8–11. Here, by a forward genetic screen, we identify two dominant mutations of the transcription factor NTL8 that constitutively activate VIN3 expression and alter the slow VIN3 cold induction profile. In the wild type, the NTL8 protein accumulates slowly in the cold, and directly upregulates VIN3 transcription. Through combining computational simulation and experimental validation, we show that a major contributor to this slow accumulation is reduced NTL8 dilution due to slow growth at low temperatures. Temperature-dependent growth is thus exploited through protein dilution to provide the long-term thermosensory information for VIN3 upregulation. Indirect mechanisms involving temperature-dependent growth, in addition to direct thermosensing, may be widely relevant in long-term biological sensing of naturally fluctuating temperatures.","2020-07","2024-07-22 18:33:53","2024-07-22 18:33:53","2024-07-22 18:33:53","825-829","","7818","583","","","","","","","","","","en","2020 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","C:\Users\sapph\Zotero\storage\UWASZDNQ\Zhao et al. - 2020 - Temperature-dependent growth contributes to long-t.pdf","","","Computational models; Plant molecular biology; Plant physiology; Plant signalling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHTNZ9PU","journalArticle","2021","Zhu, Pan; Lister, Clare; Dean, Caroline","Cold-induced Arabidopsis FRIGIDA nuclear condensates for FLC repression","Nature","","1476-4687","10.1038/s41586-021-04062-5","https://www.nature.com/articles/s41586-021-04062-5","Plants use seasonal temperature cues to time the transition to reproduction. In Arabidopsis thaliana, winter cold epigenetically silences the floral repressor locus FLOWERING LOCUS C (FLC) through POLYCOMB REPRESSIVE COMPLEX 2 (PRC2)1. This vernalization process aligns flowering with spring. A prerequisite for silencing is transcriptional downregulation of FLC, but how this occurs in the fluctuating temperature regimes of autumn is unknown2–4. Transcriptional repression correlates with decreased local levels of histone H3 trimethylation at K36 (H3K36me3) and H3 trimethylation at K4 (H3K4me3)5,6, which are deposited during FRIGIDA (FRI)-dependent activation of FLC7–10. Here we show that cold rapidly promotes the formation of FRI nuclear condensates that do not colocalize with an active FLC locus. This correlates with reduced FRI occupancy at the FLC promoter and FLC repression. Warm temperature spikes reverse this process, buffering FLC shutdown to prevent premature flowering. The accumulation of condensates in the cold is affected by specific co-transcriptional regulators and cold induction of a specific isoform of the antisense RNA COOLAIR5,11. Our work describes the dynamic partitioning of a transcriptional activator conferring plasticity in response to natural temperature fluctuations, thus enabling plants to effectively monitor seasonal progression.","2021-11","2024-07-22 18:34:15","2024-07-22 18:34:15","2024-07-22 18:34:15","657-661","","7886","599","","","","","","","","","","en","2021 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","C:\Users\sapph\Zotero\storage\E6R6VSAP\Zhu et al. - 2021 - Cold-induced Arabidopsis FRIGIDA nuclear condensat.pdf","","","Plant molecular biology; Abiotic; Gene silencing; Long non-coding RNAs; Nuclear speckles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FMZ89NBR","journalArticle","2023","Pan, Wenqiang; Li, Jingru; Du, Yunpeng; Zhao, Yajie; Xin, Yin; Wang, Shaokun; Liu, Chang; Lin, Zhimin; Fang, Shaozhong; Yang, Yingdong; Zaccai, Michele; Zhang, Xiuhai; Yi, Mingfang; Gazzarrini, Sonia; Wu, Jian","Epigenetic silencing of callose synthase by VIL1 promotes bud-growth transition in lily bulbs","Nature Plants","","2055-0278","10.1038/s41477-023-01492-z","https://www.nature.com/articles/s41477-023-01492-z","In plants, restoring intercellular communication is required for cell activity in buds during the growth transition from slow to fast growth after dormancy release. However, the epigenetic regulation of this phenomenon is far from understood. Here we demonstrate that lily VERNALIZATION INSENSITIVE 3-LIKE 1 (LoVIL1) confers growth transition by mediating plasmodesmata opening via epigenetic repression of CALLOSE SYNTHASE 3 (LoCALS3). Moreover, we found that a novel transcription factor, NUCLEAR FACTOR Y, SUBUNIT A7 (LoNFYA7), is capable of recruiting the LoVIL1–Polycomb Repressive Complex 2 (PRC2) and enhancing H3K27me3 at the LoCALS3 locus by recognizing the CCAAT cis-element (Cce) of its promoter. The LoNFYA7–LoVIL1 module serves as a key player in orchestrating the phase transition from slow to fast growth in lily bulbs. These studies also indicate that LoVIL1 is a suitable marker for the bud-growth-transition trait following dormancy release in lily cultivars.","2023-09","2024-07-22 18:34:40","2024-07-22 18:34:40","2024-07-22 18:34:40","1451-1467","","9","9","","Nat. Plants","","","","","","","","en","2023 The Author(s), under exclusive licence to Springer Nature Limited","","","","www.nature.com","","Publisher: Nature Publishing Group","","C:\Users\sapph\Zotero\storage\E2LE7N4V\Pan et al. - 2023 - Epigenetic silencing of callose synthase by VIL1 p.pdf","","","Plant molecular biology; Plant physiology; Shoot apical meristem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGSND3UH","journalArticle","2015","Luedeling, E.; Blanke, M.; Gebauer, J.","CHILLING CHALLENGES IN A WARMING WORLD","Acta Horticulturae","","0567-7572, 2406-6168","10.17660/ActaHortic.2015.1099.115","https://www.actahort.org/books/1099/1099_115.htm","","2015-09","2024-07-22 18:38:49","2024-07-22 18:38:49","2024-07-22 18:38:49","901-907","","1099","","","Acta Hortic.","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6RB8ICW","journalArticle","1998","Rageau, R.; Bonhomme, M.; Richard, J.P.; Erez, A.","THE CLIMATIC DETERMINISM OF VEGETATIVE BUD BREAK ON PEACH TREES WITH NO EXPOSURE TO CHILLING: SOME EXPERIMENTAL RESULTS","Acta Horticulturae","","0567-7572, 2406-6168","10.17660/ActaHortic.1998.465.64","https://www.actahort.org/books/465/465_64.htm","","1998-04","2024-07-22 18:39:23","2024-07-22 18:39:23","2024-07-22 18:39:23","511-520","","465","","","Acta Hortic.","THE CLIMATIC DETERMINISM OF VEGETATIVE BUD BREAK ON PEACH TREES WITH NO EXPOSURE TO CHILLING","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
